番号 	Winner1 	Winner2 	Winner3 	Winner4 	Loser1 	Loser2 	Loser3 	Loser4 	レート増 	レート減
34 	Nulayer 	cafu 	mitukunn 	TENKA 	teranushi 	yokohama5 	Lionjack 	Heigen 	13 	12
35 	yamax 	cafu 	CoRoNa 	masa-way 	MisakaMikoto 	otyoufx 	mitukunn 	TENKA 	14 	13
36 	pietan 	hiro_ 	yokohama5 	mitukunn 	moomin 	Unagi 	qop 	cafu 	16 	15
37 	pietan 	cafu 	yokohama5 	mitukunn 	aikuchi 	moomin 	fabi 	Heigen 	15 	14
38 	pietan 	yamax 	cafu 	mitukunn 	papasu 	teranushi 	Izzey 	Heigen 	16 	15
39 	aikuchi 	oSaru 	Duca 	TENKA 	moomin 	hiro_ 	fabi 	yokohama5 	12 	11
40 	moomin 	hiro_ 	fabi 	TENKA 	aikuchi 	oSaru 	yokohama5 	Heigen 	13 	12
41 	teranushi 	nomonomo 	yamax 	say_to 	pietan 	isami 	Izzey 	cafu 	13 	12
42 	pietan 	nomonomo 	ninunufu 	inosisi 	yamax 	isami 	moomin 	veltpunch 	14 	13
43 	teranushi 	mannbou 	cafu 	safe 	moomin 	Leon 	hiro_ 	veltpunch 	11 	10
44 	moomin 	cafu 	mafty 	sanettie 	teranushi 	Dummy1800 	safe 	Heigen 	10 	9
45 	moomin 	Dummy1800 	mafty 	sanettie 	papasu 	cafu 	pa-ku 	safe 	13 	12
46 	nomonomo 	moomin 	shiden 	Heigen 	aikuchi 	Lia 	Molt 	safe 	17 	16
47 	aikuchi 	nomonomo 	cafu 	mitukunn 	papasu 	moomin 	demeking 	TENKA 	14 	13
48 	pietan 	moomin 	TENKA 	TAMAzaburou 	co2 	nomonomo 	cafu 	Heigen 	16 	15
49 	papasu 	fabi 	mitukunn 	Crush 	teranushi 	Izzey 	Caesar 	KISARADU 	10 	9
50 	pietan 	co2 	Izzey 	yokohama5 	papasu 	guren 	nomonomo 	TENKA 	14 	13
51 	teranushi 	Lia 	Izzey 	yokohama5 	aikuchi 	moomin 	Qsonata 	fabi 	14 	13
52 	pietan 	demeking 	maedy 	Rato 	co2 	nomonomo 	KUREBAYAS 	inosisi 	7 	6
53 	co2 	moomin 	KUREBAYAS 	TENKA 	teranushi 	nomonomo 	maedy 	inosisi 	15 	14
54 	teranushi 	moomin 	KUREBAYAS 	TENKA 	co2 	nomonomo 	maedy 	inosisi 	14 	13
55 	pietan 	hiro_ 	maedy 	inosisi 	co2 	nomonomo 	el-nino 	masa-way 	18 	17
56 	papasu 	nomonomo 	oSaru 	yokohama5 	yamax 	moomin 	KUREBAYAS 	shiden 	14 	13
57 	pietan 	yamax 	shiden 	Heigen 	nomonomo 	moomin 	KUREBAYAS 	maedy 	15 	14
58 	papasu 	nomonomo 	yamax 	shiden 	pietan 	teranushi 	maedy 	mafty 	10 	9
59 	yamax 	Chrysler 	Izzey 	cafu 	aikuchi 	moomin 	KUREBAYAS 	mitukunn 	12 	11
60 	aikuchi 	Chrysler 	KUREBAYAS 	cafu 	papasu 	moomin 	Izzey 	mitukunn 	15 	14
61 	teranushi 	nomonomo 	moomin 	Chrysler 	pietan 	guren 	KUREBAYAS 	cafu 	13 	12
62 	co2 	fiiisan 	cafu 	mafty 	moomin 	MisakaMikoto 	shiden 	mitukunn 	14 	13
63 	aikuchi 	Unagi 	ninunufu 	cafu 	moomin 	MisakaMikoto 	shiden 	mafty 	14 	13
64 	yamax 	MisakaMikoto 	shiden 	TENKA 	guren 	moomin 	mafty 	yokohama5 	11 	10
65 	nomonomo 	demeking 	cafu 	tsubasa 	papasu 	teranushi 	mitukunn 	Heigen 	12 	11
66 	papasu 	aikuchi 	yokohama5 	Heigen 	teranushi 	shiden 	cafu 	mitukunn 	12 	11
67 	MisakaMikoto 	moomin 	mafty 	sanettie 	yamax 	Izzey 	say_to 	TENKA 	12 	11
68 	teranushi 	Lia 	fabi 	mitukunn 	aikuchi 	cafu 	tsubasa 	yokohama5 	11 	10
69 	nomonomo 	moomin 	TENKA 	inosisi 	shiden 	Izzey 	mafty 	sanettie 	13 	12
70 	Lia 	say_to 	cafu 	tsubasa 	moomin 	hiro_ 	oSaru 	sanettie 	10 	9
71 	cafu 	tsubasa 	Qsonata 	yokohama5 	moomin 	say_to 	iti_monme 	Heigen 	9 	8
72 	co2 	moomin 	Unagi 	say_to 	pietan 	aikuchi 	cafu 	Heigen 	14 	13
73 	pietan 	co2 	bearcat 	Heigen 	aikuchi 	moomin 	say_to 	cafu 	17 	16
74 	MisakaMikoto 	moomin 	ninunufu 	hiro_ 	nomonomo 	shiden 	veltpunch 	cafu 	10 	9
75 	co2 	shiden 	bearcat 	OR 	nomonomo 	moomin 	cafu 	Heigen 	16 	15
76 	teranushi 	nomonomo 	moomin 	el-nino 	pietan 	shiden 	Izzey 	mafty 	14 	13
77 	teranushi 	aikuchi 	MisakaMikoto 	shiden 	pietan 	nomonomo 	moomin 	el-nino 	12 	11
78 	teranushi 	aikuchi 	guren 	nomonomo 	pietan 	co2 	MisakaMikoto 	moomin 	12 	11
79 	otyoufx 	Dummy1800 	say_to 	Heigen 	yamax 	el-nino 	fabi 	TENKA 	15 	14
80 	co2 	moomin 	Izzey 	Molt 	pietan 	Lia 	oSaru 	sanettie 	11 	10
81 	moomin 	Chrysler 	maedy 	sanettie 	nomonomo 	Lia 	oSaru 	TENKA 	17 	16
82 	nomonomo 	Dummy2000 	say_to 	tsubasa 	pietan 	Chrysler 	sanettie 	TENKA 	12 	11
83 	Chrysler 	Dummy2000 	hiro_ 	el-nino 	pietan 	tsubasa 	sanettie 	TENKA 	13 	12
84 	nomonomo 	poppio 	Chrysler 	sanettie 	pietan 	hiro_ 	tsubasa 	el-nino 	11 	10
85 	papasu 	co2 	shiden 	cafu 	aikuchi 	MisakaMikoto 	moomin 	Chrysler 	12 	11
86 	pietan 	MisakaMikoto 	veltpunch 	cafu 	nomonomo 	moomin 	Chrysler 	Unagi 	16 	15
87 	papasu 	aikuchi 	nomonomo 	MisakaMikoto 	pietan 	co2 	Chrysler 	shiden 	11 	10
88 	guren 	MisakaMikoto 	shiden 	maedy 	pietan 	arata 	moomin 	Heigen 	14 	13
89 	pietan 	guren 	arata 	Heigen 	co2 	nomonomo 	moomin 	maedy 	18 	17
90 	co2 	nomonomo 	arata 	Heigen 	aikuchi 	moomin 	shiden 	maedy 	16 	15
91 	arata 	poppio 	shiden 	maedy 	yamax 	moomin 	Lia 	Izzey 	13 	12
92 	pietan 	arata 	moomin 	Chrysler 	papasu 	co2 	yamax 	Lia 	17 	16
93 	pietan 	nomonomo 	demeking 	sanettie 	co2 	moomin 	Chrysler 	Lia 	15 	14
94 	co2 	nomonomo 	Chrysler 	sanettie 	pietan 	papasu 	El_cid 	irina 	15 	14
95 	papasu 	co2 	ninunufu 	Lionjack 	arata 	yamax 	Unagi 	cafu 	12 	11
96 	pietan 	yamax 	MisakaMikoto 	KUREBAYAS 	guren 	nomonomo 	arata 	Chrysler 	13 	12
97 	guren 	nomonomo 	arata 	moomin 	pietan 	MisakaMikoto 	Chrysler 	shiden 	13 	12
98 	pietan 	MisakaMikoto 	moomin 	shiden 	guren 	nomonomo 	arata 	Chrysler 	12 	11
99 	pietan 	RAMI 	yamax 	maedy 	aikuchi 	nomonomo 	arata 	moomin 	13 	12
100 	arata 	yamax 	Lia 	En_AOC 	aikuchi 	moomin 	maedy 	TENKA 	8 	7
101 	aikuchi 	arata 	moomin 	maedy 	pietan 	yamax 	Lia 	En_AOC 	13 	12
102 	co2 	arata 	moomin 	mityu 	pietan 	Chrysler 	Lia 	En_AOC 	13 	12
103 	pietan 	moomin 	Raiden 	yokohama5 	nomonomo 	arata 	Chrysler 	En_AOC 	12 	11
104 	hiro_ 	yokohama5 	apache2 	za-bon 	Qsonata 	el-nino 	Duca 	En_AOC 	12 	11
105 	aikuchi 	nomonomo 	moomin 	Heigen 	pietan 	guren 	fabi 	KISARADU 	16 	15
106 	pietan 	moomin 	Izzey 	TENKA 	nomonomo 	yamax 	isami 	sanettie 	14 	13
107 	pietan 	moomin 	Izzey 	TENKA 	nomonomo 	yamax 	isami 	sanettie 	11 	10
108 	co2 	arata 	isami 	Lia 	pietan 	nomonomo 	RAMI 	sanettie 	14 	13
109 	co2 	arata 	RAMI 	isami 	pietan 	nomonomo 	Lia 	Izzey 	11 	10
110 	nomonomo 	arata 	RAMI 	moomin 	pietan 	isami 	Lia 	Izzey 	15 	14
111 	lyo 	cafu 	NFushi 	Raiden 	moomin 	Izzey 	En_AOC 	poll 	13 	12
112 	moomin 	hiro_ 	En_AOC 	Ardan 	ninunufu 	cafu 	ICE 	Crush 	14 	13
113 	Cartier 	hiro_ 	mmn 	poll 	moomin 	veltpunch 	NFushi 	Heigen 	13 	12
114 	teranushi 	moomin 	otyoufx 	El_cid 	pietan 	nomonomo 	shiden 	Heigen 	15 	14
115 	arata 	Lia 	Izzey 	mmn 	teranushi 	moomin 	maedy 	Crush 	11 	10
116 	nomonomo 	Chrysler 	cafu 	TENKA 	pietan 	lyo 	yokohama5 	poll 	13 	12
117 	pietan 	mmn 	el-nino 	TENKA 	teranushi 	nomonomo 	sanettie 	Dummy1000 	12 	11
118 	teranushi 	Chrysler 	cafu 	TENKA 	nomonomo 	arata 	yokohama5 	sanettie 	11 	10
119 	co2 	nomonomo 	mityu 	TENKA 	arata 	Chrysler 	demeking 	el-nino 	14 	13
120 	nomonomo 	arata 	RAMI 	demeking 	pietan 	poppio 	Chrysler 	el-nino 	13 	12
121 	pietan 	arata 	Caesar 	SystemC 	nomonomo 	Chrysler 	oSaru 	el-nino 	15 	14
122 	co2 	aikuchi 	nomonomo 	mityu 	teranushi 	poppio 	MisakaMikoto 	shiden 	15 	14
123 	teranushi 	guren 	MisakaMikoto 	shiden 	co2 	nomonomo 	poppio 	demeking 	11 	10
124 	nomonomo 	poppio 	Lia 	demeking 	co2 	arata 	MisakaMikoto 	TENKA 	14 	13
125 	arata 	poppio 	Lia 	masa-way 	co2 	nomonomo 	sanettie 	TENKA 	9 	8
126 	arata 	Lia 	demeking 	Awake 	nomonomo 	poppio 	sanettie 	TENKA 	13 	12
127 	poppio 	Lia 	oSaru 	TENKA 	nomonomo 	RAMI 	sanettie 	Awake 	12 	11
128 	guren 	RAMI 	MisakaMikoto 	sanettie 	nomonomo 	poppio 	Chrysler 	oSaru 	14 	13
129 	guren 	RAMI 	MisakaMikoto 	oSaru 	co2 	nomonomo 	Chrysler 	say_to 	14 	13
130 	co2 	nomonomo 	Chrysler 	say_to 	guren 	RAMI 	MisakaMikoto 	oSaru 	14 	13
131 	pietan 	MisakaMikoto 	shiden 	Crush 	guren 	nomonomo 	arata 	Dummy1050 	10 	9
132 	guren 	arata 	MisakaMikoto 	shiden 	pietan 	nomonomo 	RAMI 	Crush 	12 	11
133 	pietan 	RAMI 	poppio 	Molt 	aikuchi 	arata 	nomonomo 	Dummy1800 	8 	7
134 	nomonomo 	RAMI 	poppio 	bakuon 	pietan 	arata 	oSaru 	El_cid 	5 	4
135 	guren 	nomonomo 	arata 	hiro_ 	pietan 	RAMI 	bakuon 	El_cid 	16 	15
136 	nomonomo 	arata 	RAMI 	yama_sati 	pietan 	Chrysler 	hiro_ 	SystemC 	9 	8
137 	co2 	guren 	RAMI 	Chrysler 	pietan 	nomonomo 	arata 	El_cid 	10 	9
138 	pietan 	moomin 	lyo 	poll 	nomonomo 	shiden 	Chrysler 	cafu 	15 	14
139 	moomin 	bakuon 	shiden 	Chrysler 	pietan 	nomonomo 	Izzey 	Heigen 	15 	14
140 	nomonomo 	moomin 	Chrysler 	Izzey 	pietan 	guren 	lyo 	poll 	14 	13
141 	guren 	MisakaMikoto 	Lia 	Izzey 	pietan 	nomonomo 	Chrysler 	sanettie 	13 	12
142 	pietan 	Izzey 	oSaru 	TENKA 	RAMI 	Lia 	Chrysler 	sanettie 	8 	7
143 	arata 	nomonomo 	demeking 	sanettie 	pietan 	RAMI 	Qsonata 	poll 	18 	17
144 	pietan 	RAMI 	sanettie 	Dummy900 	arata 	nomonomo 	oSaru 	yama_sati 	12 	11
145 	guren 	RAMI 	El_cid 	yama_sati 	arata 	nomonomo 	oSaru 	mattari 	12 	11
146 	nomonomo 	yamax 	shiden 	masa-way 	moomin 	bakuon 	demeking 	fiiisan 	15 	14
147 	nomonomo 	bakuon 	demeking 	poll 	arata 	Izzey 	fiiisan 	TENKA 	10 	9
148 	pietan 	otyoufx 	Izzey 	TENKA 	nomonomo 	arata 	moomin 	sanettie 	12 	11
149 	nomonomo 	arata 	otyoufx 	Lia 	pietan 	RAMI 	moomin 	sanettie 	13 	12
150 	pietan 	RAMI 	Lia 	sanettie 	arata 	poppio 	moomin 	Izzey 	15 	14
151 	nomonomo 	arata 	Chrysler 	oSaru 	guren 	otyoufx 	demeking 	hiro_ 	13 	12
152 	guren 	nomonomo 	otyoufx 	oSaru 	pietan 	Chrysler 	demeking 	hiro_ 	12 	11
153 	guren 	nomonomo 	Chrysler 	oSaru 	pietan 	arata 	otyoufx 	irina 	11 	10
154 	pietan 	guren 	Chrysler 	Duca 	nomonomo 	arata 	RAMI 	oSaru 	9 	8
155 	otyoufx 	shiden 	ninunufu 	yokohama5 	aikuchi 	demeking 	cafu 	En_AOC 	11 	10
156 	nomonomo 	moomin 	cafu 	En_AOC 	aikuchi 	oSaru 	tsubasa 	TENKA 	8 	7
157 	nomonomo 	poppio 	TENKA 	En_AOC 	Lia 	oSaru 	tsubasa 	cafu 	10 	9
158 	poppio 	moomin 	otyoufx 	Lia 	pietan 	nomonomo 	Izzey 	En_AOC 	11 	10
159 	pietan 	poppio 	Lia 	Ardan 	nomonomo 	yamax 	Izzey 	Cartier 	14 	13
160 	nomonomo 	poppio 	Chrysler 	Izzey 	pietan 	Lia 	Cartier 	oSaru 	12 	11
161 	teranushi 	cafu 	simantyu 	Ardan 	MisakaMikoto 	mmn 	veltpunch 	Heigen 	13 	12
162 	MisakaMikoto 	otyoufx 	Cartier 	cafu 	nomonomo 	Lia 	shiden 	TENKA 	12 	11
163 	nomonomo 	MisakaMikoto 	otyoufx 	cafu 	pietan 	Lia 	shiden 	TENKA 	11 	10
164 	pietan 	MisakaMikoto 	cafu 	TENKA 	nomonomo 	Lia 	shiden 	ninunufu 	17 	16
165 	pietan 	MisakaMikoto 	Izzey 	TENKA 	teranushi 	nomonomo 	ninunufu 	mmn 	14 	13
166 	nomonomo 	Izzey 	cafu 	mmn 	teranushi 	moomin 	lyo 	poll 	11 	10
167 	nomonomo 	MisakaMikoto 	Izzey 	poll 	bakuon 	Lia 	Cartier 	cafu 	14 	13
168 	poppio 	Lia 	Izzey 	maedy 	nomonomo 	bakuon 	Cartier 	mmn 	12 	11
169 	poppio 	otyoufx 	demeking 	oSaru 	RAMI 	bakuon 	Cartier 	maedy 	14 	13
170 	shiden 	ninunufu 	cafu 	mmn 	pietan 	Cartier 	poll 	Heigen 	7 	6
171 	co2 	shiden 	oSaru 	TENKA 	pietan 	Cartier 	ninunufu 	Heigen 	12 	11
172 	teranushi 	MisakaMikoto 	Chrysler 	Heigen 	pietan 	Cartier 	oSaru 	TENKA 	12 	11
173 	teranushi 	MisakaMikoto 	maedy 	oSaru 	pietan 	Chrysler 	Izzey 	TENKA 	13 	12
174 	nomonomo 	MisakaMikoto 	Izzey 	oSaru 	pietan 	Lia 	Chrysler 	TENKA 	13 	12
175 	teranushi 	MisakaMikoto 	Lia 	Chrysler 	pietan 	nomonomo 	jonny 	Raiden 	14 	13
176 	pietan 	cafu 	fabi 	sanettie 	aikuchi 	shiden 	maedy 	AFINA 	15 	14
177 	aikuchi 	nomonomo 	maedy 	cafu 	pietan 	bakuon 	shiden 	sanettie 	14 	13
178 	pietan 	MisakaMikoto 	cafu 	TAMAzaburou 	nomonomo 	bakuon 	Lia 	say_to 	15 	14
179 	teranushi 	nomonomo 	bakuon 	say_to 	pietan 	otyoufx 	Lia 	oSaru 	14 	13
180 	nomonomo 	Chrysler 	Lia 	oSaru 	pietan 	co2 	sanettie 	TENKA 	17 	16
181 	nomonomo 	Chrysler 	say_to 	TENKA 	pietan 	KUREBAYAS 	Duca 	sanettie 	14 	13
182 	pietan 	nomonomo 	shiden 	En_AOC 	teranushi 	poppio 	yamax 	sanettie 	12 	11
183 	pietan 	Chrysler 	shiden 	sanettie 	poppio 	yamax 	bakuon 	yokohama5 	7 	6
184 	nomonomo 	fabi 	mityu 	TENKA 	teranushi 	oSaru 	En_AOC 	inosisi 	14 	13
185 	aikuchi 	poppio 	Chrysler 	masa-way 	pietan 	bakuon 	maedy 	sanettie 	10 	9
186 	teranushi 	Lake 	TENKA 	inosisi 	otyoufx 	Lia 	yokohama5 	En_AOC 	14 	13
187 	pietan 	bakuon 	Chrysler 	sanettie 	aikuchi 	poppio 	maedy 	cafu 	13 	12
188 	MisakaMikoto 	otyoufx 	jonny 	En_AOC 	teranushi 	Lia 	Lake 	yokohama5 	11 	10
189 	aikuchi 	nomonomo 	Chrysler 	cafu 	pietan 	poppio 	bakuon 	sanettie 	9 	8
190 	nomonomo 	MisakaMikoto 	Lia 	cafu 	pietan 	poppio 	Chrysler 	En_AOC 	12 	11
191 	shiden 	ninunufu 	oSaru 	yokohama5 	nomonomo 	maedy 	tsubasa 	inosisi 	12 	11
192 	nomonomo 	MisakaMikoto 	En_AOC 	inosisi 	shiden 	Izzey 	maedy 	sanettie 	10 	9
193 	aikuchi 	nomonomo 	shiden 	En_AOC 	pietan 	MisakaMikoto 	maedy 	sanettie 	16 	15
194 	MisakaMikoto 	Lia 	maedy 	En_AOC 	pietan 	say_to 	TENKA 	sanettie 	13 	12
195 	nomonomo 	Lia 	oSaru 	En_AOC 	pietan 	say_to 	TENKA 	masa-way 	9 	8
196 	pietan 	Lake 	mityu 	sanettie 	nomonomo 	say_to 	oSaru 	masa-way 	12 	11
197 	pietan 	say_to 	Lake 	En_AOC 	nomonomo 	RAMI 	masa-way 	sanettie 	9 	8
198 	aikuchi 	cafu 	say_to 	Lake 	MisakaMikoto 	shiden 	Nulayer 	En_AOC 	11 	10
199 	aikuchi 	shiden 	ninunufu 	cafu 	co2 	MisakaMikoto 	Unagi 	En_AOC 	13 	12
200 	aikuchi 	shiden 	ninunufu 	tsubasa 	pietan 	Izzey 	cafu 	En_AOC 	13 	12
201 	pietan 	oSaru 	fabi 	tsubasa 	guren 	Izzey 	cafu 	yokohama5 	16 	15
202 	pietan 	yokohama5 	sanettie 	inosisi 	Izzey 	oSaru 	el-nino 	tsubasa 	11 	10
203 	pietan 	Lia 	tsubasa 	inosisi 	teranushi 	nomonomo 	sanettie 	En_AOC 	14 	13
204 	aikuchi 	nomonomo 	Lia 	inosisi 	pietan 	teranushi 	sanettie 	En_AOC 	8 	7
205 	teranushi 	guren 	MisakaMikoto 	En_AOC 	pietan 	nomonomo 	otyoufx 	inosisi 	15 	14
206 	pietan 	Lia 	shiden 	oSaru 	aikuchi 	nomonomo 	Izzey 	maedy 	12 	11
207 	pietan 	Izzey 	say_to 	oSaru 	nomonomo 	poppio 	Chrysler 	el-nino 	14 	13
208 	pietan 	Izzey 	cafu 	oSaru 	nomonomo 	poppio 	Chrysler 	el-nino 	10 	9
209 	pietan 	nomonomo 	KUREBAYAS 	el-nino 	aikuchi 	poppio 	Chrysler 	cafu 	12 	11
210 	Retan 	Izzey 	el-nino 	mitukunn 	otyoufx 	Unagi 	Cartier 	itou 	17 	16
211 	Izzey 	Cartier 	mitukunn 	bashoh 	otyoufx 	NFushi 	itou 	simantyu 	17 	16
212 	jonny 	Izzey 	mitukunn 	Heigen 	Chrysler 	KUREBAYAS 	itou 	simantyu 	13 	12
213 	shiden 	oSaru 	carrion 	SystemC 	Cartier 	nanaco 	NFushi 	Crush 	14 	13
214 	cafu 	say_to 	fabi 	En_AOC 	yamax 	mmn 	iti_monme 	bashoh 	14 	13
215 	aikuchi 	cafu 	fabi 	Crush 	yamax 	Chrysler 	mmn 	En_AOC 	12 	11
216 	Lia 	Chrysler 	iti_monme 	En_AOC 	yamax 	KUREBAYAS 	mmn 	Heigen 	14 	13
217 	MisakaMikoto 	say_to 	mmn 	En_AOC 	Chrysler 	KUREBAYAS 	cafu 	Crush 	12 	11
218 	yamax 	Izzey 	KUREBAYAS 	En_AOC 	nomonomo 	Chrysler 	iti_monme 	yokohama5 	13 	12
219 	nomonomo 	Izzey 	iti_monme 	En_AOC 	yamax 	tanasin 	cafu 	yokohama5 	15 	14
220 	pietan 	oSaru 	mmn 	En_AOC 	yamax 	shiden 	cafu 	yokohama5 	8 	7
221 	aikuchi 	nomonomo 	shiden 	En_AOC 	pietan 	Chrysler 	Izzey 	yokohama5 	12 	11
222 	MisakaMikoto 	poppio 	Chrysler 	En_AOC 	teranushi 	nomonomo 	mityu 	yokohama5 	11 	10
223 	Unagi 	ninunufu 	qop 	En_AOC 	MisakaMikoto 	shiden 	itou 	bashoh 	13 	12
224 	MisakaMikoto 	ninunufu 	tsubasa 	En_AOC 	bakuon 	shiden 	Lake 	itou 	15 	14
225 	bakuon 	tsubasa 	el-nino 	Ardan 	shiden 	veltpunch 	En_AOC 	itou 	15 	14
226 	bakuon 	veltpunch 	En_AOC 	Ardan 	shiden 	tsubasa 	iti_monme 	itou 	13 	12
227 	bakuon 	tsubasa 	iti_monme 	yokohama5 	cafu 	mmn 	Qsonata 	En_AOC 	14 	13
228 	bakuon 	yokohama5 	En_AOC 	doc 	veltpunch 	mmn 	tsubasa 	carrion 	14 	13
229 	Qsonata 	NFushi 	iti_monme 	yokohama5 	aikuchi 	En_AOC 	carrion 	Heigen 	18 	17
230 	tsubasa 	iti_monme 	yokohama5 	carrion 	mmn 	NFushi 	En_AOC 	Heigen 	12 	11
231 	veltpunch 	tsubasa 	yokohama5 	carrion 	mmn 	iti_monme 	takepon 	En_AOC 	12 	11
232 	teranushi 	yokohama5 	En_AOC 	Dummy1000 	hiro_ 	say_to 	tsubasa 	sanettie 	14 	13
233 	teranushi 	mmn 	tsubasa 	En_AOC 	aikuchi 	say_to 	iti_monme 	sanettie 	12 	11
234 	hiro_ 	oSaru 	say_to 	yokohama5 	aikuchi 	Qsonata 	En_AOC 	sanettie 	15 	14
235 	aikuchi 	hiro_ 	say_to 	yokohama5 	teranushi 	RAMI 	iti_monme 	sanettie 	14 	13
236 	MisakaMikoto 	shiden 	cafu 	fabi 	aikuchi 	nomonomo 	iti_monme 	En_AOC 	12 	11
237 	nomonomo 	MisakaMikoto 	shiden 	sanettie 	teranushi 	aikuchi 	iti_monme 	En_AOC 	7 	6
238 	pietan 	Chrysler 	Lake 	sanettie 	teranushi 	nomonomo 	iti_monme 	En_AOC 	9 	8
239 	pietan 	Chrysler 	Lake 	iti_monme 	papasu 	nomonomo 	oSaru 	sanettie 	15 	14
240 	papasu 	nomonomo 	Lia 	masa-way 	pietan 	Retan 	Chrysler 	En_AOC 	17 	16
241 	pietan 	nomonomo 	Icy 	sanettie 	Retan 	Chrysler 	say_to 	oSaru 	11 	10
242 	pietan 	Duca 	masa-way 	sanettie 	RAMI 	demeking 	say_to 	itou 	19 	18
243 	RAMI 	say_to 	Qsonata 	En_AOC 	pietan 	yokohama5 	Duca 	itou 	15 	14
244 	say_to 	Qsonata 	yokohama5 	En_AOC 	RAMI 	Duca 	y 	itou 	9 	8
245 	nomonomo 	shiden 	Lake 	veltpunch 	pietan 	Chrysler 	mmn 	sanettie 	13 	12
246 	nomonomo 	Chrysler 	mmn 	En_AOC 	pietan 	Lake 	yokohama5 	sanettie 	14 	13
247 	aikuchi 	Chrysler 	En_AOC 	sanettie 	Lia 	demeking 	Lake 	yokohama5 	12 	11
248 	pietan 	MisakaMikoto 	masa-way 	mattari 	nomonomo 	hiro_ 	say_to 	oSaru 	14 	13
249 	MisakaMikoto 	Chrysler 	say_to 	oSaru 	pietan 	demeking 	hiro_ 	sanettie 	10 	9
250 	RAMI 	Chrysler 	hiro_ 	say_to 	pietan 	demeking 	Qsonata 	yokohama5 	11 	10
251 	jonny 	hiro_ 	say_to 	yokohama5 	pietan 	Qsonata 	En_AOC 	sanettie 	14 	13
